Index,Name,Expansion,Min price,Exemplaires en vente,Rareté,mkm_url,expansion_release_date,Tournament_last_month,Price trend,Price 7 days,Price 30 days
2603,Iono (PAL 269),Paldea-Evolved,"14,90 €",345,Special Illustration Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Paldea-Evolved/Iono-V3-PAL269,"9TH JUNE, 2023",756.0,"39,08 €","32,52 €","35,89 €"
2604,Nacli (PAL 121),Paldea-Evolved,"0,02 €",3763,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Paldea-Evolved/Nacli-V1-PAL121,"9TH JUNE, 2023",,,,
2605,Farigiraf (PAL 155),Paldea-Evolved,"0,02 €",5644,Uncommon,https://www.cardmarket.com/en/Pokemon/Products/Singles/Paldea-Evolved/Farigiraf-V1-PAL155,"9TH JUNE, 2023",,,,
2606,Bellibolt ex (PAL 237),Paldea-Evolved,"1,00 €",359,Ultra Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Paldea-Evolved/Bellibolt-ex-V2-PAL237,"9TH JUNE, 2023",0.0,"1,83 €","1,91 €","2,06 €"
2607,Frigibax (PAL 057),Paldea-Evolved,"0,02 €",4826,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Paldea-Evolved/Frigibax-V1-PAL057,"9TH JUNE, 2023",,,,
2608,Croagunk (PAL 114),Paldea-Evolved,"0,02 €",9513,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Paldea-Evolved/Croagunk-PAL114,"9TH JUNE, 2023",,,,
2609,Honchkrow (PAL 132),Paldea-Evolved,"0,02 €",5991,Uncommon,https://www.cardmarket.com/en/Pokemon/Products/Singles/Paldea-Evolved/Honchkrow-PAL132,"9TH JUNE, 2023",,,,
2610,Seviper (PAL 137),Paldea-Evolved,"0,02 €",6066,Uncommon,https://www.cardmarket.com/en/Pokemon/Products/Singles/Paldea-Evolved/Seviper-PAL137,"9TH JUNE, 2023",,,,
2611,Tropius (PAL 195),Paldea-Evolved,"3,00 €",178,Illustration Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Paldea-Evolved/Tropius-V2-PAL195,"9TH JUNE, 2023",0.0,"6,19 €","5,82 €","5,73 €"
2612,Eiscue (PAL 205),Paldea-Evolved,"4,99 €",178,Illustration Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Paldea-Evolved/Eiscue-V2-PAL205,"9TH JUNE, 2023",0.0,"6,84 €","6,60 €","7,07 €"
2613,Raichu (PAL 211),Paldea-Evolved,"10,00 €",209,Illustration Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Paldea-Evolved/Raichu-V2-PAL211,"9TH JUNE, 2023",0.0,"24,90 €","24,01 €","26,26 €"
2614,Tinkatuff (PAL 217),Paldea-Evolved,"3,95 €",188,Illustration Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Paldea-Evolved/Tinkatuff-V2-PAL217,"9TH JUNE, 2023",0.0,"6,62 €","6,86 €","6,47 €"
2615,Paldean Clodsire ex (PAL 244),Paldea-Evolved,"0,70 €",399,Ultra Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Paldea-Evolved/Paldean-Clodsire-ex-V2-PAL244,"9TH JUNE, 2023",0.0,"1,78 €","1,85 €","1,74 €"
2616,Quaquaval ex (PAL 273),Paldea-Evolved,"1,00 €",360,Secret Rare ,https://www.cardmarket.com/en/Pokemon/Products/Singles/Paldea-Evolved/Quaquaval-ex-V4-PAL273,"9TH JUNE, 2023",0.0,"4,67 €","4,58 €","4,78 €"
2617,Vespiquen (PAL 009),Paldea-Evolved,"0,02 €",5787,Uncommon,https://www.cardmarket.com/en/Pokemon/Products/Singles/Paldea-Evolved/Vespiquen-PAL009,"9TH JUNE, 2023",,,,
2618,Tyranitar (PAL 222),Paldea-Evolved,"19,99 €",217,Illustration Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Paldea-Evolved/Tyranitar-V2-PAL222,"9TH JUNE, 2023",0.0,"27,84 €","27,23 €","27,94 €"
2619,Tinkaton ex (PAL 262),Paldea-Evolved,"9,98 €",235,Special Illustration Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Paldea-Evolved/Tinkaton-ex-V2-PAL262,"9TH JUNE, 2023",0.0,"13,87 €","13,95 €","13,55 €"
2620,Meowscarada ex (PAL 271),Paldea-Evolved,"3,40 €",407,Secret Rare ,https://www.cardmarket.com/en/Pokemon/Products/Singles/Paldea-Evolved/Meowscarada-ex-V4-PAL271,"9TH JUNE, 2023",0.0,"6,86 €","6,17 €","6,08 €"
2621,Wo-Chien ex (PAL 232),Paldea-Evolved,"0,79 €",407,Ultra Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Paldea-Evolved/Wo-Chien-ex-V2-PAL232,"9TH JUNE, 2023",0.0,"1,69 €","1,64 €","1,89 €"
2622,Palossand (PAL 096),Paldea-Evolved,"0,02 €",5837,Uncommon,https://www.cardmarket.com/en/Pokemon/Products/Singles/Paldea-Evolved/Palossand-PAL096,"9TH JUNE, 2023",,,,
