Index,Name,Expansion,Min price,Exemplaires en vente,Rareté,mkm_url,expansion_release_date,Tournament_last_month,Price trend,Price 7 days,Price 30 days
0,Live Code Card (Booster) (LOR),Lost-Origin,"0,02 €",14753,Online Code Card,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Live-Code-Card-Booster-LOR,"9TH SEPTEMBER, 2022",,,,
1,Thorton (LOR 167),Lost-Origin,"0,02 €",8496,Uncommon,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Thorton-V1-LOR167,"9TH SEPTEMBER, 2022",,,,
2,Rotom V (LOR 058),Lost-Origin,"0,70 €",239,Ultra Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Rotom-V-LOR058,"9TH SEPTEMBER, 2022",193.0,"3,69 €","3,56 €","3,23 €"
3,Colress's Experiment (LOR 155),Lost-Origin,"0,02 €",6339,Uncommon,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Colresss-Experiment-V1-LOR155,"9TH SEPTEMBER, 2022",,,,
4,Lost Vacuum (LOR 162),Lost-Origin,"0,02 €",12538,Uncommon,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Lost-Vacuum-V1-LOR162,"9TH SEPTEMBER, 2022",,,,
5,Radiant Hisuian Sneasler (LOR 123),Lost-Origin,"0,05 €",3188,Ultra Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Radiant-Hisuian-Sneasler-LOR123,"9TH SEPTEMBER, 2022",,"0,47 €","0,46 €","0,47 €"
6,Mirage Gate (LOR 163),Lost-Origin,"0,02 €",8267,Uncommon,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Mirage-Gate-LOR163,"9TH SEPTEMBER, 2022",,,,
7,Radiant Gardevoir (LOR 069),Lost-Origin,"0,05 €",2874,Ultra Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Radiant-Gardevoir-LOR069,"9TH SEPTEMBER, 2022",,"0,35 €","0,42 €","0,46 €"
8,Gift Energy (LOR 171),Lost-Origin,"0,02 €",4589,Uncommon,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Gift-Energy-LOR171,"9TH SEPTEMBER, 2022",,,,
9,Radiant Steelix (LOR 124),Lost-Origin,"0,03 €",2994,Ultra Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Radiant-Steelix-LOR124,"9TH SEPTEMBER, 2022",,"0,40 €","0,39 €","0,42 €"
10,Hisuian Goodra V (LOR 135),Lost-Origin,"0,05 €",2064,Ultra Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Hisuian-Goodra-V-V1-LOR135,"9TH SEPTEMBER, 2022",,"0,41 €","0,45 €","0,54 €"
11,Magnezone V (LOR 056),Lost-Origin,"0,10 €",2062,Ultra Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Magnezone-V-V1-LOR056,"9TH SEPTEMBER, 2022",,"0,52 €","0,53 €","0,60 €"
12,Banette (LOR TG07),Lost-Origin,"0,25 €",1112,Illustration Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Banette-V2-LORTG07,"9TH SEPTEMBER, 2022",0.0,"0,99 €","0,94 €","0,95 €"
13,Hisuian Arcanine (LOR TG08),Lost-Origin,"0,50 €",914,Illustration Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Hisuian-Arcanine-V2-LORTG08,"9TH SEPTEMBER, 2022",0.0,"1,31 €","1,34 €","1,24 €"
14,Giratina V (LOR 130),Lost-Origin,"0,49 €",1065,Ultra Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Giratina-V-V1-LOR130,"9TH SEPTEMBER, 2022",1.0,"1,34 €","1,20 €","1,28 €"
15,Delphox V (LOR 027),Lost-Origin,"0,10 €",2129,Ultra Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Delphox-V-V1-LOR027,"9TH SEPTEMBER, 2022",,"0,50 €","0,47 €","0,61 €"
16,Giratina VSTAR (LOR 131),Lost-Origin,"2,00 €",838,Ultra Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Giratina-VSTAR-V1-LOR131,"9TH SEPTEMBER, 2022",131.0,"3,20 €","3,33 €","3,29 €"
17,Gengar (LOR TG06),Lost-Origin,"3,10 €",401,Illustration Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Gengar-V2-LORTG06,"9TH SEPTEMBER, 2022",0.0,"5,05 €","5,11 €","4,43 €"
18,Lost City (LOR 161),Lost-Origin,"0,02 €",5523,Uncommon,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Lost-City-LOR161,"9TH SEPTEMBER, 2022",,,,
19,Aerodactyl V (LOR 092),Lost-Origin,"0,05 €",2038,Ultra Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Aerodactyl-V-V1-LOR092,"9TH SEPTEMBER, 2022",,"0,65 €","0,61 €","0,66 €"
20,Charizard (LOR TG03),Lost-Origin,"4,95 €",635,Illustration Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Charizard-LORTG03,"9TH SEPTEMBER, 2022",0.0,"7,23 €","6,90 €","6,63 €"
21,Spiritomb (LOR TG09),Lost-Origin,"0,24 €",1083,Illustration Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Spiritomb-V2-LORTG09,"9TH SEPTEMBER, 2022",,,,
22,Snorlax (LOR TG10),Lost-Origin,"0,99 €",674,Illustration Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Snorlax-LORTG10,"9TH SEPTEMBER, 2022",0.0,"1,95 €","2,04 €","1,95 €"
23,Roserade (LOR TG02),Lost-Origin,"0,07 €",1048,Illustration Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Roserade-V2-LORTG02,"9TH SEPTEMBER, 2022",,,,
24,Pikachu (LOR TG05),Lost-Origin,"3,95 €",710,Illustration Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Pikachu-V2-LORTG05,"9TH SEPTEMBER, 2022",0.0,"5,70 €","5,88 €","5,71 €"
25,Hisuian Zoroark V (LOR 146),Lost-Origin,"0,19 €",1444,Ultra Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Hisuian-Zoroark-V-LOR146,"9TH SEPTEMBER, 2022",,"0,64 €","0,66 €","0,73 €"
26,Parasect (LOR TG01),Lost-Origin,"0,40 €",1039,Illustration Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Parasect-V2-LORTG01,"9TH SEPTEMBER, 2022",0.0,"1,22 €","1,12 €","1,06 €"
27,Chandelure (LOR TG04),Lost-Origin,"0,47 €",1058,Illustration Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Chandelure-LORTG04,"9TH SEPTEMBER, 2022",0.0,"1,10 €","0,98 €","0,98 €"
28,Enamorus V (LOR 082),Lost-Origin,"0,10 €",1941,Ultra Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Enamorus-V-V1-LOR082,"9TH SEPTEMBER, 2022",,"0,69 €","0,67 €","0,67 €"
29,Castform (LOR TG11),Lost-Origin,"0,22 €",1410,Illustration Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Castform-LORTG11,"9TH SEPTEMBER, 2022",,,,
30,Kyurem V (LOR 048),Lost-Origin,"0,14 €",1801,Ultra Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Kyurem-V-V1-LOR048,"9TH SEPTEMBER, 2022",,"0,71 €","0,65 €","0,69 €"
31,Drapion V (LOR 118),Lost-Origin,"0,03 €",1831,Ultra Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Drapion-V-V1-LOR118,"9TH SEPTEMBER, 2022",,"0,52 €","0,52 €","0,59 €"
32,Comfey (LOR 079),Lost-Origin,"0,02 €",1603,Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Comfey-LOR079,"9TH SEPTEMBER, 2022",,,,
33,Pidgeot V (LOR 137),Lost-Origin,"0,25 €",1351,Ultra Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Pidgeot-V-V1-LOR137,"9TH SEPTEMBER, 2022",20.0,"0,84 €","0,84 €","0,82 €"
34,Galarian Perrserker V (LOR 129),Lost-Origin,"0,10 €",2174,Ultra Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Galarian-Perrserker-V-V1-LOR129,"9TH SEPTEMBER, 2022",,"0,61 €","0,52 €","0,59 €"
35,Lady (LOR 159),Lost-Origin,"0,02 €",7704,Uncommon,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Lady-V1-LOR159,"9TH SEPTEMBER, 2022",,,,
36,Hisuian Goodra VSTAR (LOR 136),Lost-Origin,"0,29 €",1047,Ultra Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Hisuian-Goodra-VSTAR-V1-LOR136,"9TH SEPTEMBER, 2022",103.0,"1,21 €","1,14 €","1,18 €"
37,Arezu (LOR 153),Lost-Origin,"0,02 €",9780,Uncommon,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Arezu-V1-LOR153,"9TH SEPTEMBER, 2022",,,,
38,Hisuian Zoroark VSTAR (LOR 147),Lost-Origin,"0,39 €",978,Ultra Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Hisuian-Zoroark-VSTAR-V1-LOR147,"9TH SEPTEMBER, 2022",0.0,"1,02 €","1,20 €","1,20 €"
39,Kyurem VMAX (LOR 049),Lost-Origin,"0,15 €",837,Ultra Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Kyurem-VMAX-V1-LOR049,"9TH SEPTEMBER, 2022",,"1,37 €","1,40 €","1,38 €"
40,Magnezone VSTAR (LOR 057),Lost-Origin,"0,20 €",1253,Ultra Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Magnezone-VSTAR-V1-LOR057,"9TH SEPTEMBER, 2022",,"0,75 €","0,71 €","0,89 €"
41,Aerodactyl VSTAR (LOR 093),Lost-Origin,"0,40 €",1260,Ultra Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Aerodactyl-VSTAR-V1-LOR093,"9TH SEPTEMBER, 2022",0.0,"1,02 €","0,97 €","0,95 €"
42,Hisuian Zorua (LOR 075),Lost-Origin,"0,02 €",12043,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Hisuian-Zorua-LOR075,"9TH SEPTEMBER, 2022",,,,
43,Miss Fortune Sisters (LOR 164),Lost-Origin,"0,02 €",7590,Uncommon,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Miss-Fortune-Sisters-V1-LOR164,"9TH SEPTEMBER, 2022",,,,
44,Damage Pump (LOR 156),Lost-Origin,"0,02 €",8356,Uncommon,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Damage-Pump-LOR156,"9TH SEPTEMBER, 2022",,,,
45,Drapion VSTAR (LOR 119),Lost-Origin,"0,15 €",1475,Ultra Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Drapion-VSTAR-V1-LOR119,"9TH SEPTEMBER, 2022",,"0,75 €","0,79 €","0,81 €"
46,Hisuian Growlithe (LOR 083),Lost-Origin,"0,02 €",13981,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Hisuian-Growlithe-LOR083,"9TH SEPTEMBER, 2022",,,,
47,Clefairy (LOR 062),Lost-Origin,"0,02 €",13442,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Clefairy-LOR062,"9TH SEPTEMBER, 2022",,,,
48,Falinks (LOR 110),Lost-Origin,"0,02 €",12969,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Falinks-LOR110,"9TH SEPTEMBER, 2022",,,,
49,Pikachu VMAX (LOR TG29),Lost-Origin,"5,00 €",577,Secret Rare ,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Pikachu-VMAX-V2-LORTG29,"9TH SEPTEMBER, 2022",0.0,"7,76 €","7,95 €","7,23 €"
50,Murkrow (LOR 114),Lost-Origin,"0,02 €",13357,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Murkrow-LOR114,"9TH SEPTEMBER, 2022",,,,
51,Banette (LOR 073),Lost-Origin,"0,02 €",4230,Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Banette-V1-LOR073,"9TH SEPTEMBER, 2022",,,,
52,Bronzor (LOR 125),Lost-Origin,"0,02 €",13167,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Bronzor-LOR125,"9TH SEPTEMBER, 2022",,,,
53,Poliwag (LOR 030),Lost-Origin,"0,02 €",13818,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Poliwag-LOR030,"9TH SEPTEMBER, 2022",,,,
54,Mew VMAX (LOR TG30),Lost-Origin,"4,99 €",488,Secret Rare ,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Mew-VMAX-LORTG30,"9TH SEPTEMBER, 2022",0.0,"6,74 €","6,84 €","7,00 €"
55,Wurmple (LOR 006),Lost-Origin,"0,02 €",15123,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Wurmple-LOR006,"9TH SEPTEMBER, 2022",,,,
56,Horsea (LOR 035),Lost-Origin,"0,02 €",14866,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Horsea-LOR035,"9TH SEPTEMBER, 2022",,,,
57,Ducklett (LOR 046),Lost-Origin,"0,02 €",14095,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Ducklett-LOR046,"9TH SEPTEMBER, 2022",,,,
58,Shellos (LOR 039),Lost-Origin,"0,02 €",13987,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Shellos-LOR039,"9TH SEPTEMBER, 2022",,,,
59,Binacle (LOR 106),Lost-Origin,"0,02 €",12970,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Binacle-LOR106,"9TH SEPTEMBER, 2022",,,,
60,Gastly (LOR 064),Lost-Origin,"0,02 €",8347,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Gastly-LOR064,"9TH SEPTEMBER, 2022",,,,
61,Jynx (LOR 068),Lost-Origin,"0,02 €",13967,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Jynx-LOR068,"9TH SEPTEMBER, 2022",,,,
62,Cramorant (LOR 050),Lost-Origin,"0,02 €",3074,Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Cramorant-LOR050,"9TH SEPTEMBER, 2022",,,,
63,Goomy (LOR 132),Lost-Origin,"0,02 €",13894,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Goomy-LOR132,"9TH SEPTEMBER, 2022",,,,
64,Gengar (LOR 066),Lost-Origin,"0,05 €",749,Holo Rare ,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Gengar-V1-LOR066,"9TH SEPTEMBER, 2022",,,,
65,Slugma (LOR 021),Lost-Origin,"0,02 €",13062,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Slugma-LOR021,"9TH SEPTEMBER, 2022",,,,
66,Mawile (LOR 071),Lost-Origin,"0,02 €",9051,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Mawile-LOR071,"9TH SEPTEMBER, 2022",,,,
67,Litwick (LOR 024),Lost-Origin,"0,02 €",13860,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Litwick-LOR024,"9TH SEPTEMBER, 2022",,,,
68,Phantump (LOR 016),Lost-Origin,"0,02 €",13347,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Phantump-LOR016,"9TH SEPTEMBER, 2022",,,,
69,Lake Acuity (LOR 160),Lost-Origin,"0,02 €",9893,Uncommon,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Lake-Acuity-LOR160,"9TH SEPTEMBER, 2022",,,,
70,Oddish (LOR 001),Lost-Origin,"0,02 €",13858,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Oddish-LOR001,"9TH SEPTEMBER, 2022",,,,
71,Gligar (LOR 095),Lost-Origin,"0,02 €",14322,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Gligar-LOR095,"9TH SEPTEMBER, 2022",,,,
72,Hisuian Basculin (LOR 044),Lost-Origin,"0,02 €",9170,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Hisuian-Basculin-LOR044,"9TH SEPTEMBER, 2022",,,,
73,Pikachu (LOR 052),Lost-Origin,"0,02 €",7954,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Pikachu-V1-LOR052,"9TH SEPTEMBER, 2022",,,,
74,Roselia (LOR 014),Lost-Origin,"0,02 €",14257,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Roselia-LOR014,"9TH SEPTEMBER, 2022",,,,
75,Paras (LOR 004),Lost-Origin,"0,02 €",9015,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Paras-LOR004,"9TH SEPTEMBER, 2022",,,,
76,Panic Mask (LOR 165),Lost-Origin,"0,02 €",7377,Uncommon,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Panic-Mask-LOR165,"9TH SEPTEMBER, 2022",,,,
77,Eternatus V (LOR TG21),Lost-Origin,"2,45 €",354,Special Illustration Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Eternatus-V-LORTG21,"9TH SEPTEMBER, 2022",0.0,"4,53 €","4,79 €","4,21 €"
78,Finneon (LOR 040),Lost-Origin,"0,02 €",8928,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Finneon-LOR040,"9TH SEPTEMBER, 2022",,,,
79,Fantina (LOR 157),Lost-Origin,"0,02 €",12742,Uncommon,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Fantina-V1-LOR157,"9TH SEPTEMBER, 2022",,,,
80,Colress's Experiment (LOR 190),Lost-Origin,"2,00 €",403,Ultra Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Colresss-Experiment-V2-LOR190,"9TH SEPTEMBER, 2022",70.0,"3,57 €","2,63 €","3,31 €"
81,Seadra (LOR 036),Lost-Origin,"0,02 €",9694,Uncommon,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Seadra-LOR036,"9TH SEPTEMBER, 2022",,,,
82,Shuppet (LOR 072),Lost-Origin,"0,02 €",13876,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Shuppet-LOR072,"9TH SEPTEMBER, 2022",,,,
83,Rhyhorn (LOR 089),Lost-Origin,"0,02 €",8771,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Rhyhorn-LOR089,"9TH SEPTEMBER, 2022",,,,
84,Spinarak (LOR 112),Lost-Origin,"0,02 €",10050,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Spinarak-LOR112,"9TH SEPTEMBER, 2022",,,,
85,Komala (LOR 149),Lost-Origin,"0,02 €",7819,Uncommon,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Komala-LOR149,"9TH SEPTEMBER, 2022",,,,
86,Inkay (LOR 077),Lost-Origin,"0,02 €",10262,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Inkay-LOR077,"9TH SEPTEMBER, 2022",,,,
87,Seviper (LOR 116),Lost-Origin,"0,02 €",5755,Uncommon,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Seviper-LOR116,"9TH SEPTEMBER, 2022",,,,
88,Bronzong (LOR 126),Lost-Origin,"0,02 €",8051,Uncommon,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Bronzong-LOR126,"9TH SEPTEMBER, 2022",,,,
89,Skwovet (LOR 150),Lost-Origin,"0,02 €",9759,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Skwovet-LOR150,"9TH SEPTEMBER, 2022",,,,
90,Makuhita (LOR 097),Lost-Origin,"0,02 €",10154,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Makuhita-LOR097,"9TH SEPTEMBER, 2022",,,,
91,Inkay (LOR 121),Lost-Origin,"0,02 €",9948,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Inkay-LOR121,"9TH SEPTEMBER, 2022",,,,
92,Iscan (LOR 158),Lost-Origin,"0,02 €",10857,Uncommon,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Iscan-V1-LOR158,"9TH SEPTEMBER, 2022",,,,
93,Seedot (LOR 011),Lost-Origin,"0,02 €",9038,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Seedot-LOR011,"9TH SEPTEMBER, 2022",,,,
94,Mimikyu (LOR 080),Lost-Origin,"0,02 €",3938,Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Mimikyu-LOR080,"9TH SEPTEMBER, 2022",,,,
95,Hisuian Sliggoo (LOR 133),Lost-Origin,"0,02 €",7710,Uncommon,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Hisuian-Sliggoo-LOR133,"9TH SEPTEMBER, 2022",,,,
96,Carbink (LOR 108),Lost-Origin,"0,02 €",7689,Uncommon,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Carbink-LOR108,"9TH SEPTEMBER, 2022",,,,
97,Gallade V (LOR TG19),Lost-Origin,"3,00 €",299,Special Illustration Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Gallade-V-V2-LORTG19,"9TH SEPTEMBER, 2022",0.0,"5,23 €","5,09 €","5,24 €"
98,Poliwhirl (LOR 031),Lost-Origin,"0,02 €",6088,Uncommon,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Poliwhirl-LOR031,"9TH SEPTEMBER, 2022",,,,
99,Seel (LOR 033),Lost-Origin,"0,02 €",8656,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Seel-LOR033,"9TH SEPTEMBER, 2022",,,,
100,Hisuian Arcanine (LOR 084),Lost-Origin,"0,02 €",3332,Holo Rare ,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Hisuian-Arcanine-V1-LOR084,"9TH SEPTEMBER, 2022",,,,
101,Thorton (LOR 195),Lost-Origin,"3,00 €",172,Ultra Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Thorton-V2-LOR195,"9TH SEPTEMBER, 2022",223.0,"4,56 €","4,80 €","4,60 €"
102,Gloom (LOR 002),Lost-Origin,"0,02 €",7541,Uncommon,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Gloom-LOR002,"9TH SEPTEMBER, 2022",,,,
103,Porygon (LOR 140),Lost-Origin,"0,02 €",9641,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Porygon-LOR140,"9TH SEPTEMBER, 2022",,,,
104,Eelektrik (LOR 060),Lost-Origin,"0,02 €",9167,Uncommon,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Eelektrik-LOR060,"9TH SEPTEMBER, 2022",,,,
105,Electrike (LOR 054),Lost-Origin,"0,02 €",14042,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Electrike-LOR054,"9TH SEPTEMBER, 2022",,,,
106,Machop (LOR 086),Lost-Origin,"0,02 €",10176,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Machop-LOR086,"9TH SEPTEMBER, 2022",,,,
107,Gastrodon (LOR 102),Lost-Origin,"0,02 €",8537,Uncommon,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Gastrodon-LOR102,"9TH SEPTEMBER, 2022",,,,
108,Snover (LOR 042),Lost-Origin,"0,02 €",13426,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Snover-LOR042,"9TH SEPTEMBER, 2022",,,,
109,Blipbug (LOR 018),Lost-Origin,"0,02 €",10085,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Blipbug-LOR018,"9TH SEPTEMBER, 2022",,,,
110,Machoke (LOR 087),Lost-Origin,"0,02 €",9208,Uncommon,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Machoke-LOR087,"9TH SEPTEMBER, 2022",,,,
111,Box of Disaster (LOR 154),Lost-Origin,"0,02 €",9323,Uncommon,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Box-of-Disaster-V1-LOR154,"9TH SEPTEMBER, 2022",,,,
112,Pikachu V (LOR TG16),Lost-Origin,"15,00 €",235,Special Illustration Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Pikachu-V-LORTG16,"9TH SEPTEMBER, 2022",0.0,"37,54 €","32,41 €","34,40 €"
113,Hisuian Basculegion (LOR 045),Lost-Origin,"0,02 €",1089,Holo Rare ,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Hisuian-Basculegion-LOR045,"9TH SEPTEMBER, 2022",,,,
114,Giratina V (LOR 185),Lost-Origin,"4,90 €",302,Ultra Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Giratina-V-V2-LOR185,"9TH SEPTEMBER, 2022",0.0,"6,71 €","7,84 €","8,05 €"
115,Enamorus V (LOR TG18),Lost-Origin,"3,99 €",290,Special Illustration Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Enamorus-V-V3-LORTG18,"9TH SEPTEMBER, 2022",0.0,"5,02 €","5,13 €","5,56 €"
116,Porygon2 (LOR 141),Lost-Origin,"0,02 €",9004,Uncommon,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Porygon2-LOR141,"9TH SEPTEMBER, 2022",,,,
117,Nessa (LOR TG27),Lost-Origin,"4,40 €",320,Ultra Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Nessa-LORTG27,"9TH SEPTEMBER, 2022",0.0,"6,41 €","6,00 €","6,76 €"
118,Sableye (LOR 070),Lost-Origin,"0,02 €",1257,Holo Rare ,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Sableye-LOR070,"9TH SEPTEMBER, 2022",,,,
119,Mienfoo (LOR 103),Lost-Origin,"0,02 €",10041,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Mienfoo-LOR103,"9TH SEPTEMBER, 2022",,,,
120,Arezu (LOR 189),Lost-Origin,"0,50 €",331,Ultra Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Arezu-V2-LOR189,"9TH SEPTEMBER, 2022",0.0,"4,15 €","3,18 €","3,93 €"
